"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","查询功能","对不同关键词进行搜索","0","0","6","0","0"
"","检查超链接","学术链接","0","0","1","0","0"
"","检查超链接","地图链接","1","0","0","0","0"
"","检查超链接","视频链接","0","0","1","0","0"
"","检查超链接","贴吧链接","0","0","1","0","0"
"","检查超链接","新闻连接","0","0","1","0","0"
"","检查超链接","hao123连接","1","0","0","0","0"
"","页面设置","负向查询功能","0","0","1","0","0"
